sent,id,cnt,size,ccnt,csize,1621551600,1621555200
base,20,438,6476,438,6476
base,1001,1,3,1,3
base,1002,2,207,2,207
base,1003,1,372,1,372
base,1005,1,3,1,3
base,1013,76,83381,76,83381
base,1015,1,6,1,6
base,1016,50,1150,50,1150
base,1017,14,359,14,359
base,1019,1,6,1,6
base,1022,17,102,17,102
base,1026,418,25731,418,25731
sys,11,1,25,1,25
sys,12,77,15673,77,15673
sys,14,59,1098,59,1098
sys,15,5,56,5,56
sys,17,1,12,1,12
sys,24,1,23,1,23
sys,25,29,591,29,591
sys,81,7,2029,7,2029
sys,82,3,27,3,27
sys,83,3,27,3,27
sys,86,44,66982,44,66982
sys,101,1,250,1,250
sys,201,1,5,1,5
sys,301,1,18,1,18
sys,1504,1,17,1,17
ev,42,1,4,1,4
ev,301,1,9,1,9
ev,302,72,648,72,648
ev,370,2,16,2,16
ev,371,2,16,2,16
ev,373,15,75,15,75
ev,375,1,8,1,8
ev,509,73,1460,73,1460
ev,510,1,7,1,7
ev,557,10,80,10,80
ev,564,1,18,1,18
ev,568,2,10,2,10
