func,call,tick
c2s_delete_char,0,0
CGameCreature::OnTimer,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
CGameCreature::OnTeleport,0,0
c2s_sys_event,0,0
c2s_ghttp,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,664,260021
CGameCreature::OnLeaveWorld,2326,22719854
CGameCreature::OnLeaveScene,2326,301271
CGameCreature::ClearUnderling,2326,214940
CGameCreature::OnShowAttribChanged,720,930462
CGameCreature::ClearEnemy,720,-27279
"FindPath",781027,7646349893
CGameCreature::OnActionEnd,783376,56146724
"SkCon.Tick.Eff",17800,16391537
"Npc.Tick",54062888,60794858443
"CreOp.Tick",54062888,4079771908
CGameCreature::OnActionBegin,783352,1133808950
"Action.Tick",54062888,9603466576
"ObjAi.Tick",54062888,-3395888918
"SkCon.Tick",54062888,5946333865
Cre.Tick,54062888,60952550515
CGameWorld::CheckGridInfo,3560,4393099714
CGameWorld::TickActiveGrid,3560,151286556942
CNpcDropMgr::OnTimer,3600,548603
CGameSystemSyncSvr::OnUpdateUserData,3600,5746612
CGameWorld::Tick.TickUser,17798,85082000586
"GS.Business",17798,3017953
"GS.Chat",17798,4398891
CGameCreature::AddUnderling,722,87466
CGameCreature::OnRareShowAttribChanged,2164,2636690
CGameCreature::SetBoss,1444,15216458
CGameCreature::OnPostEnterWorld,2326,6527882
CGameCreature::OnEnterScene,2326,1217522
CGameCreature::OnEnterWorld,2326,20006510
"Npc.Spawn",189505,3348499941
CGameWorld::Tick.Sys,17798,7924079563
CGameWorld::Tick,17798,93019374394
CGameServer::TickFrame1,17798,93042106948
CGameServer::TickFrame3,17797,683807679
"Server.Run.Sleep",3132984,8051147329948
CGameServer::Tick.Other,3132984,19665758122
CGameServer::Tick.Net,3132984,2341415786
CGameWorld::Tick.DestroyObj,3132984,1440302572
CGameWorld::TickNotifyGrid,17798,130938537
CGameServer::TickFrame2,17798,155838544624
CGameServer::Tick.TickFrame,3132984,252292502475
CGameServer::Tick.Base,3132984,252638979966
CGameServer::Tick,3132984,574759468647
"Server.Run",1,8639994658538
