recv,id,cnt,size,tick,1621530000,1621533600
base,1034,80,3675,54549
base,1041,3,386,2103
sysev,10,31,279,24705
sysev,19,9,117,4824
sysev,33,49,637,20595
sysev,38,13,169,8286
sysev,41,32,288,21816
sysev,88,2,54,1647
sysev,99,166,5454,106440
sysev,111,4,52,2352
sysev,116,4,58,2595
sysev,117,4,20,2421
sysev,141,14,112,9864
sysev,172,8,104,5940
sysev,279,2,18,1416
sysev,284,6,54,3567
sysev,291,17,323,10575
sysev,292,50,1200,29532
ev,17,125,1000,83661
ev,562,5,80,3138
ev,563,3,15,2811
ev,565,4498,67470,2381463
ev,569,17,85,9582
ev,572,27,378,19866
