sent,id,cnt,size,ccnt,csize,1621530000,1621533600
base,20,1775,22923,1775,22923
base,1013,124,85692,124,85692
base,1016,1395,32085,1568,36064
base,1017,466,12587,686,17697
base,1021,882,9042,1738,17902
base,1022,101,606,101,606
base,1026,2361,87556,2361,87556
sys,11,33,825,33,825
sys,12,2986,298591,2986,298591
sys,14,1209,21730,1209,21730
sys,15,14,200,19,265
sys,16,44,2723,44,2723
sys,17,138,1656,138,1656
sys,18,2,82,2,82
sys,21,33,165,33,165
sys,22,37,555,37,555
sys,24,485,11155,605,13915
sys,25,121,2535,121,2535
sys,27,18,198,18,198
sys,28,5,25,5,25
sys,86,15,19337,15,19337
ev,56,116,6164,116,6164
ev,369,115,2760,179,4296
ev,370,197,1576,278,2224
ev,371,167,1336,254,2032
ev,373,97,485,97,485
ev,568,1,5,1,5
